ICAO,YEAR,MOF,SRC_PHASE,N,EARLY,EARLY_M1505,EARLY_M0500,LATE_P0005,LATE_P0515,LATE,N_VALID
LEMD,2021,1,ARR,4962,1508,968,417,347,466,1256,4962
LEMD,2021,1,DEP,4952,19,386,987,1040,1032,1486,4950
LEMD,2021,2,ARR,4752,1805,1182,494,350,374,547,4752
LEMD,2021,2,DEP,4792,26,481,1123,1399,1088,675,4792
LEMD,2021,3,ARR,5536,2188,1412,548,412,434,542,5536
LEMD,2021,3,DEP,5587,30,534,1318,1710,1278,715,5585
LEMD,2021,4,ARR,5960,2449,1584,586,381,436,524,5960
LEMD,2021,4,DEP,6039,36,698,1826,1848,1048,581,6037
LEMD,2021,5,ARR,6894,2081,1817,868,599,695,833,6893
LEMD,2021,5,DEP,6972,29,649,1836,2091,1466,900,6971
LEMD,2021,6,ARR,8667,2381,2231,1015,791,1010,1238,8666
LEMD,2021,6,DEP,8730,37,723,2024,2593,2090,1259,8726
LEMD,2021,7,ARR,10966,2762,2600,1312,1068,1456,1768,10966
LEMD,2021,7,DEP,11168,23,626,2213,3213,2947,2144,11166
LEMD,2021,8,ARR,11502,2605,2972,1467,1188,1507,1762,11501
LEMD,2021,8,DEP,11626,25,663,2376,3415,3055,2090,11624
LEMD,2021,9,ARR,11356,2644,2804,1486,1229,1483,1710,11356
LEMD,2021,9,DEP,11407,31,746,2579,3420,2751,1880,11407
LEMD,2021,10,ARR,11614,2903,2842,1467,1118,1499,1785,11614
LEMD,2021,10,DEP,11712,26,777,2400,3314,3100,2095,11712
LEMD,2021,11,ARR,11872,3182,2794,1393,1111,1487,1905,11872
LEMD,2021,11,DEP,11893,24,641,2279,3214,3209,2526,11893
LEMD,2021,12,ARR,12515,3367,2883,1470,1172,1540,2082,12514
LEMD,2021,12,DEP,12384,28,756,2567,3473,3000,2560,12384
LEMD,NA,NA,DEP,8,0,0,0,0,0,0,0
LFPG,2018,12,ARR,4,1,0,2,0,0,1,4
LFPG,2019,1,ARR,19035,3253,4383,2696,2230,2704,3769,19035
LFPG,2019,1,DEP,19064,81,943,3704,4434,4713,5189,19064
LFPG,2019,2,ARR,17616,3607,4564,2627,1934,2214,2670,17616
LFPG,2019,2,DEP,17611,72,896,3320,4387,4636,4300,17611
LFPG,2019,3,ARR,20039,3397,4525,2885,2379,3061,3792,20039
LFPG,2019,3,DEP,20083,87,870,3552,4574,5392,5608,20083
LFPG,2019,4,ARR,21411,2925,4612,3153,2673,3397,4651,21411
LFPG,2019,4,DEP,21402,56,683,3418,4737,5907,6601,21402
LFPG,2019,5,ARR,21955,3051,4845,3392,2793,3384,4490,21955
LFPG,2019,5,DEP,21991,72,1017,4103,5039,5663,6097,21991
LFPG,2019,6,ARR,22154,2783,4225,3053,2651,3554,5887,22153
LFPG,2019,6,DEP,22171,40,475,2636,4109,5938,8973,22171
LFPG,2019,7,ARR,23521,3336,4520,3299,2776,3691,5899,23521
LFPG,2019,7,DEP,23541,46,384,2358,4250,6474,10029,23541
LFPG,2019,8,ARR,23586,3036,4771,3341,2867,3687,5884,23586
LFPG,2019,8,DEP,23645,84,780,3372,4892,5937,8580,23645
LFPG,2019,9,ARR,22567,3150,4866,3464,2939,3464,4684,22567
LFPG,2019,9,DEP,22548,69,855,3858,5070,6068,6628,22548
LFPG,2019,10,ARR,22214,2948,4710,3490,3013,3645,4407,22213
LFPG,2019,10,DEP,22239,69,821,3781,5218,6035,6314,22238
LFPG,2019,11,ARR,19224,3813,5086,3069,2257,2457,2542,19224
LFPG,2019,11,DEP,19253,94,1164,4278,4842,4746,4129,19253
LFPG,2019,12,ARR,19483,2846,3880,2725,2374,3164,4494,19483
LFPG,2019,12,DEP,19442,61,554,2376,4030,5196,7225,19442
LFPG,NA,NA,ARR,3785,0,0,0,0,0,0,0
LFPG,NA,NA,DEP,3662,0,0,0,0,0,0,0
LFPG,2019,12,ARR,4,3,1,0,0,0,0,4
LFPG,2019,12,DEP,1,0,0,0,0,0,1,1
LFPG,2020,1,ARR,18930,3371,4768,2812,2254,2535,3190,18930
LFPG,2020,1,DEP,18934,65,863,3585,4781,4882,4757,18933
LFPG,2020,2,ARR,17931,3016,4115,2712,2204,2637,3247,17931
LFPG,2020,2,DEP,17935,61,829,3347,4391,4646,4660,17934
LFPG,2020,3,ARR,11877,3372,3254,1541,1083,1131,1496,11877
LFPG,2020,3,DEP,11830,198,969,2781,2963,2531,2388,11830
LFPG,2020,4,ARR,2124,703,460,192,177,203,389,2124
LFPG,2020,4,DEP,2119,207,409,394,345,283,481,2119
LFPG,2020,5,ARR,2926,822,502,303,281,331,683,2922
LFPG,2020,5,DEP,2938,302,393,461,444,555,783,2938
LFPG,2020,6,ARR,4946,1492,1070,549,516,561,755,4943
LFPG,2020,6,DEP,4926,222,467,770,938,1208,1320,4925
LFPG,2020,7,ARR,9561,2568,2790,1386,908,915,992,9559
LFPG,2020,7,DEP,9594,127,515,1689,2038,2463,2761,9593
LFPG,2020,8,ARR,11557,3778,3617,1431,852,840,1037,11555
LFPG,2020,8,DEP,11488,142,910,2518,2492,2792,2634,11488
LFPG,2020,9,ARR,9485,3710,2847,1093,601,584,650,9485
LFPG,2020,9,DEP,9427,144,1160,2498,2227,1794,1604,9427
LFPG,2020,10,ARR,8472,2654,2378,1114,784,746,796,8472
LFPG,2020,10,DEP,8465,128,815,1946,1852,1916,1806,8463
LFPG,2020,11,ARR,5997,2122,1469,683,491,568,663,5996
LFPG,2020,11,DEP,5930,175,742,1170,1219,1306,1317,5929
LFPG,2020,12,ARR,6990,1451,1452,966,806,836,1478,6989
LFPG,2020,12,DEP,6956,95,323,860,1287,1631,2760,6956
LFPG,NA,NA,ARR,1211,0,0,0,0,0,0,0
LFPG,NA,NA,DEP,986,0,0,0,0,0,0,0
LFPG,2020,12,ARR,2,0,0,0,0,2,0,2
LFPG,2020,12,DEP,1,1,0,0,0,0,0,1
LFPG,2021,1,ARR,7145,1592,1680,917,759,900,1297,7145
LFPG,2021,1,DEP,7127,105,454,1072,1466,1772,2257,7126
LFPG,2021,2,ARR,6122,1794,1403,706,516,686,1017,6122
LFPG,2021,2,DEP,6137,119,440,957,1197,1448,1975,6136
LFPG,2021,3,ARR,7088,2057,1800,876,670,719,966,7088
LFPG,2021,3,DEP,7078,155,565,1240,1530,1590,1998,7078
LFPG,2021,4,ARR,7142,1681,1910,968,729,813,1041,7142
LFPG,2021,4,DEP,7134,165,594,1347,1562,1531,1935,7134
LFPG,2021,5,ARR,7591,1591,1806,1117,864,1010,1202,7590
LFPG,2021,5,DEP,7601,149,533,1392,1641,1769,2117,7601
LFPG,2021,6,ARR,9360,2105,2395,1313,955,1086,1505,9359
LFPG,2021,6,DEP,9389,103,400,1322,1899,2224,3441,9389
LFPG,2021,7,ARR,13676,2133,2794,1741,1570,2054,3384,13676
LFPG,2021,7,DEP,13702,73,288,1034,1892,3219,7196,13702
LFPG,2021,8,ARR,14706,2026,3009,1990,1800,2434,3447,14706
LFPG,2021,8,DEP,14716,139,469,1650,2543,3724,6191,14716
LFPG,2021,9,ARR,12886,2442,3136,1884,1432,1738,2253,12885
LFPG,2021,9,DEP,12844,106,573,1888,2615,3330,4331,12843
LFPG,2021,10,ARR,13405,2211,3126,2081,1661,1964,2362,13405
LFPG,2021,10,DEP,13405,109,461,1608,2499,3573,5153,13403
LFPG,2021,11,ARR,13979,2604,3283,1962,1557,1993,2580,13979
LFPG,2021,11,DEP,13981,91,553,1912,2630,3521,5271,13978
LFPG,2021,12,ARR,14844,2085,3171,1932,1664,2426,3564,14842
LFPG,2021,12,DEP,14857,66,503,1880,2461,3605,6342,14857
LFPG,NA,NA,ARR,16,0,0,0,0,0,0,0
LFPG,NA,NA,DEP,5,0,0,0,0,0,0,0
LIRF,2019,1,ARR,11504,1833,2638,1648,1989,1562,1834,11504
LIRF,2019,1,DEP,11520,174,1524,2622,3476,1889,1835,11520
LIRF,2019,2,ARR,10750,1893,2595,1488,1739,1457,1578,10750
LIRF,2019,2,DEP,10753,155,1502,2433,3210,1829,1624,10753
LIRF,2019,3,ARR,11958,2123,2852,1612,1958,1591,1822,11958
LIRF,2019,3,DEP,11969,175,1561,2586,3544,2147,1956,11969
LIRF,2019,4,ARR,13153,1777,2847,1788,2339,1935,2467,13153
LIRF,2019,4,DEP,13151,118,1328,2444,3849,2618,2792,13149
LIRF,2019,5,ARR,13628,1765,2901,1870,2515,1926,2650,13627
LIRF,2019,5,DEP,13625,153,1351,2536,3918,2576,3090,13624
LIRF,2019,6,ARR,14221,1683,2676,1730,2387,2225,3519,14220
LIRF,2019,6,DEP,14227,141,836,1958,3851,3023,4418,14227
LIRF,2019,7,ARR,14984,1771,2597,1871,2583,2325,3837,14984
LIRF,2019,7,DEP,14960,100,687,1863,4044,3287,4978,14959
LIRF,2019,8,ARR,14991,1921,2692,1839,2537,2347,3655,14991
LIRF,2019,8,DEP,14978,103,704,1790,3979,3480,4921,14977
LIRF,2019,9,ARR,14030,1916,2744,1712,2431,2113,3114,14030
LIRF,2019,9,DEP,14029,125,950,2066,3758,3177,3951,14027
LIRF,2019,10,ARR,13193,1960,2624,1661,2491,1923,2534,13193
LIRF,2019,10,DEP,13189,116,1024,2112,3702,2995,3240,13189
LIRF,2019,11,ARR,11190,1795,2296,1496,1969,1581,2053,11190
LIRF,2019,11,DEP,11186,107,999,1901,3113,2581,2484,11185
LIRF,2019,12,ARR,11276,1839,2299,1390,1847,1614,2286,11275
LIRF,2019,12,DEP,11257,132,1003,1867,3096,2383,2776,11257
LIRF,NA,NA,ARR,57,0,0,0,0,0,0,0
LIRF,NA,NA,DEP,38,0,0,0,0,0,0,0
LIRF,2020,1,ARR,10598,2578,2742,1392,1684,1041,1161,10598
LIRF,2020,1,DEP,10608,198,1514,2541,3182,1754,1419,10608
LIRF,2020,2,ARR,9679,2290,2487,1245,1565,973,1119,9679
LIRF,2020,2,DEP,9685,177,1450,2267,2870,1543,1378,9685
LIRF,2020,3,ARR,4312,1487,1109,414,596,287,419,4312
LIRF,2020,3,DEP,4292,154,935,1142,1093,494,474,4292
LIRF,2020,4,ARR,1197,538,194,59,166,63,177,1197
LIRF,2020,4,DEP,1182,178,293,215,300,92,104,1182
LIRF,2020,5,ARR,1374,627,228,85,141,98,195,1374
LIRF,2020,5,DEP,1370,131,320,263,344,138,174,1370
LIRF,2020,6,ARR,1777,550,387,194,263,180,202,1776
LIRF,2020,6,DEP,1779,91,232,329,393,330,404,1779
LIRF,2020,7,ARR,3895,1224,981,428,578,331,353,3895
LIRF,2020,7,DEP,3898,115,391,739,1067,794,792,3898
LIRF,2020,8,ARR,5054,1928,1307,508,741,292,277,5053
LIRF,2020,8,DEP,5055,173,864,1317,1428,755,518,5055
LIRF,2020,9,ARR,4338,1796,1116,416,626,197,187,4338
LIRF,2020,9,DEP,4333,147,945,1254,1189,475,323,4333
LIRF,2020,10,ARR,4116,1691,1031,357,609,209,219,4116
LIRF,2020,10,DEP,4114,208,1044,1146,1037,408,271,4114
LIRF,2020,11,ARR,2642,1261,603,194,323,108,153,2642
LIRF,2020,11,DEP,2641,150,745,700,580,250,215,2640
LIRF,2020,12,ARR,2714,922,618,293,387,216,278,2714
LIRF,2020,12,DEP,2709,101,531,618,689,396,374,2709
LIRF,NA,NA,ARR,15,0,0,0,0,0,0,0
LIRF,NA,NA,DEP,9,0,0,0,0,0,0,0
LIRF,2021,1,ARR,2414,710,541,268,364,232,298,2413
LIRF,2021,1,DEP,2418,128,457,514,655,329,335,2418
LIRF,2021,2,ARR,2104,549,447,246,359,241,262,2104
LIRF,2021,2,DEP,2104,102,319,385,593,345,360,2104
LIRF,2021,3,ARR,2467,741,581,285,409,220,231,2467
LIRF,2021,3,DEP,2468,124,362,557,761,350,314,2468
LIRF,2021,4,ARR,3120,1078,874,353,432,198,185,3120
LIRF,2021,4,DEP,3119,138,671,822,867,352,269,3119
LIRF,2021,5,ARR,3309,1019,903,402,560,206,219,3309
LIRF,2021,5,DEP,3310,151,585,894,909,462,309,3310
LIRF,2021,6,ARR,4322,1178,1157,542,658,361,426,4322
LIRF,2021,6,DEP,4310,124,514,1022,1306,770,574,4310
LIRF,2021,7,ARR,6232,1276,1335,788,1077,726,1029,6231
LIRF,2021,7,DEP,6231,112,561,1211,1774,1262,1311,6231
LIRF,2021,8,ARR,7300,1480,1618,888,1166,897,1251,7300
LIRF,2021,8,DEP,7299,111,641,1425,2111,1495,1516,7299
LIRF,2021,9,ARR,6463,1292,1413,821,983,783,1171,6463
LIRF,2021,9,DEP,6464,121,521,1092,1717,1312,1701,6464
LIRF,2021,10,ARR,6146,993,1271,718,1107,792,1265,6146
LIRF,2021,10,DEP,6152,107,521,1022,1645,1191,1666,6152
LIRF,2021,11,ARR,6302,1155,1435,816,1096,725,1075,6302
LIRF,2021,11,DEP,6316,134,777,1318,1646,1183,1258,6316
LIRF,2021,12,ARR,6646,1278,1524,791,1127,754,1172,6646
LIRF,2021,12,DEP,6634,141,997,1500,1692,1110,1194,6634
LIRF,NA,NA,ARR,28,0,0,0,0,0,0,0
LIRF,NA,NA,DEP,16,0,0,0,0,0,0,0
LSZH,2019,1,ARR,10659,899,2151,1475,1416,2100,2618,10659
LSZH,2019,1,DEP,10682,43,770,1846,2436,2858,2729,10682
LSZH,2019,2,ARR,9675,906,2425,1568,1326,1683,1767,9675
LSZH,2019,2,DEP,9715,48,832,1918,2493,2466,1958,9715
LSZH,2019,3,ARR,10889,823,2093,1498,1488,2168,2819,10889
LSZH,2019,3,DEP,10906,40,626,1690,2482,3116,2952,10906
LSZH,2019,4,ARR,11495,722,2339,1620,1619,2323,2872,11495
LSZH,2019,4,DEP,11507,28,461,1656,2689,3517,3156,11507
LSZH,2019,5,ARR,12101,684,2160,1717,1710,2421,3409,12101
LSZH,2019,5,DEP,12133,16,247,1268,2580,3934,4088,12133
LSZH,2019,6,ARR,12210,595,1861,1575,1698,2577,3904,12210
LSZH,2019,6,DEP,12216,13,230,896,2325,3826,4926,12216
LSZH,2019,7,ARR,12725,800,2063,1591,1698,2566,4007,12725
LSZH,2019,7,DEP,12754,32,244,1031,2416,3942,5089,12754
LSZH,2019,8,ARR,12456,731,2078,1734,1761,2691,3461,12456
LSZH,2019,8,DEP,12470,19,262,1112,2607,3900,4570,12470
LSZH,2019,9,ARR,12057,815,2238,1714,1740,2646,2904,12057
LSZH,2019,9,DEP,12065,21,352,1215,2770,4041,3666,12065
LSZH,2019,10,ARR,11894,948,2525,1748,1674,2369,2630,11894
LSZH,2019,10,DEP,11931,34,481,1717,3029,3676,2994,11931
LSZH,2019,11,ARR,9831,1054,2600,1563,1492,1683,1439,9831
LSZH,2019,11,DEP,9850,34,596,1942,2795,2961,1522,9850
LSZH,2019,12,ARR,10004,973,2194,1430,1319,1848,2240,10004
LSZH,2019,12,DEP,10040,24,417,1311,2423,3098,2767,10040
LSZH,2020,1,ARR,10104,1043,2620,1531,1352,1779,1779,10104
LSZH,2020,1,DEP,10121,42,647,1928,2680,2890,1934,10121
LSZH,2020,2,ARR,9194,848,2104,1328,1243,1665,2006,9194
LSZH,2020,2,DEP,9214,31,474,1515,2518,2670,2006,9214
LSZH,2020,3,ARR,5428,866,1583,819,719,736,704,5427
LSZH,2020,3,DEP,5518,71,629,1465,1468,1215,670,5518
LSZH,2020,4,ARR,897,185,187,99,88,154,184,897
LSZH,2020,4,DEP,926,72,210,210,195,146,93,926
LSZH,2020,5,ARR,1389,224,257,152,184,276,296,1389
LSZH,2020,5,DEP,1422,101,257,276,303,312,173,1422
LSZH,2020,6,ARR,2419,433,560,337,281,421,387,2419
LSZH,2020,6,DEP,2402,100,335,467,600,578,322,2402
LSZH,2020,7,ARR,4765,934,1578,636,525,611,481,4765
LSZH,2020,7,DEP,4810,67,623,1439,1393,915,373,4810
LSZH,2020,8,ARR,5282,1070,1729,733,597,672,481,5282
LSZH,2020,8,DEP,5284,74,933,1768,1342,842,325,5284
LSZH,2020,9,ARR,4612,1177,1439,589,457,541,409,4612
LSZH,2020,9,DEP,4657,111,887,1541,1123,657,338,4657
LSZH,2020,10,ARR,4086,825,1218,626,449,541,427,4086
LSZH,2020,10,DEP,4130,103,856,1182,964,656,369,4130
LSZH,2020,11,ARR,2730,577,708,373,305,410,357,2730
LSZH,2020,11,DEP,2760,56,424,647,719,610,304,2760
LSZH,2020,12,ARR,3144,500,726,417,382,563,556,3144
LSZH,2020,12,DEP,3182,27,309,577,782,821,666,3182
LSZH,2021,1,ARR,2708,366,596,319,325,516,586,2708
LSZH,2021,1,DEP,2739,39,305,475,598,658,664,2739
LSZH,2021,2,ARR,2215,349,426,280,259,446,455,2215
LSZH,2021,2,DEP,2253,32,311,436,540,527,407,2253
LSZH,2021,3,ARR,2752,394,621,379,325,525,508,2752
LSZH,2021,3,DEP,2763,73,379,577,669,645,420,2763
LSZH,2021,4,ARR,3244,457,834,441,414,571,527,3244
LSZH,2021,4,DEP,3286,77,480,803,862,668,396,3286
LSZH,2021,5,ARR,3883,561,962,523,549,714,574,3883
LSZH,2021,5,DEP,3897,65,501,951,1042,898,440,3897
LSZH,2021,6,ARR,4937,730,1333,693,649,794,738,4937
LSZH,2021,6,DEP,4939,73,566,1164,1305,1136,695,4939
LSZH,2021,7,ARR,7489,759,1657,1071,1053,1314,1635,7489
LSZH,2021,7,DEP,7530,56,400,1211,1886,2056,1921,7530
LSZH,2021,8,ARR,7937,701,1575,1137,1019,1535,1970,7937
LSZH,2021,8,DEP,7920,58,542,1359,1921,2085,1955,7920
LSZH,2021,9,ARR,7833,896,2049,1174,1085,1331,1298,7833
LSZH,2021,9,DEP,7869,77,659,1547,2084,2156,1346,7869
LSZH,2021,10,ARR,8175,805,1811,1255,1165,1513,1626,8175
LSZH,2021,10,DEP,8223,70,544,1496,2102,2307,1704,8223
LSZH,2021,11,ARR,6545,678,1665,976,864,1129,1233,6545
LSZH,2021,11,DEP,6566,42,517,1384,1859,1690,1074,6566
LSZH,2021,12,ARR,6871,711,1504,941,884,1273,1558,6871
LSZH,2021,12,DEP,6913,53,422,1213,1764,1910,1551,6913
