ICAO,MOF,SRC_PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
EDDF,2019-01-01T00:00:00Z,ARR,18794,777117.9415914799,3515011.134366834
EDDF,2019-01-01T00:00:00Z,DEP,18882,1612967.7966932557,5830218.732868701
EDDF,2019-02-01T00:00:00Z,ARR,18416,690699.7477923215,3280135.0944097703
EDDF,2019-02-01T00:00:00Z,DEP,18429,1031527.448667755,5062838.889828254
EDDF,2019-03-01T00:00:00Z,ARR,21030,775189.649417048,3809065.691578664
EDDF,2019-03-01T00:00:00Z,DEP,21022,1345513.877726532,6015456.646902351
EDDF,2019-04-01T00:00:00Z,ARR,21847,790676.5577008221,3702031.397301693
EDDF,2019-04-01T00:00:00Z,DEP,21828,1306814.772395656,5994344.203138843
EDDF,2019-05-01T00:00:00Z,ARR,23080,935280.2706564186,4164499.508367043
EDDF,2019-05-01T00:00:00Z,DEP,23087,1470616.9626140231,6388300.839609313
EDDF,2019-06-01T00:00:00Z,ARR,22930,929911.0826455796,4103309.331654349
EDDF,2019-06-01T00:00:00Z,DEP,22938,1398131.8408151644,6302138.790253857
EDDF,2019-07-01T00:00:00Z,ARR,23556,891614.7957279934,4206541.035557529
EDDF,2019-07-01T00:00:00Z,DEP,23561,1114413.4137810485,6203890.579686629
EDDF,2019-08-01T00:00:00Z,ARR,23197,790519.5178636172,4127988.132426856
EDDF,2019-08-01T00:00:00Z,DEP,23196,1049382.648834952,6088575.5707839485
EDDF,2019-09-01T00:00:00Z,ARR,23354,954237.1479161786,4296683.847906802
EDDF,2019-09-01T00:00:00Z,DEP,23349,1477724.2007301494,6450860.9554795595
EDDF,2019-10-01T00:00:00Z,ARR,22970,976986.5413562136,4248296.333692582
EDDF,2019-10-01T00:00:00Z,DEP,22966,1570184.373228626,6500199.681405322
EDDF,2019-11-01T00:00:00Z,ARR,19381,811398.1881913055,3553549.6890985854
EDDF,2019-11-01T00:00:00Z,DEP,19401,1197082.1355671892,5463729.818056068
EDDF,2019-12-01T00:00:00Z,ARR,18373,805667.2778962874,3476022.428468674
EDDF,2019-12-01T00:00:00Z,DEP,18258,1186091.2024616378,5280240.125983526
EDDF,2020-01-01T00:00:00Z,ARR,18145,739248.6839204918,3395645.781410772
EDDF,2020-01-01T00:00:00Z,DEP,18244,942159.8525252496,5049286.0887795
EDDF,2020-02-01T00:00:00Z,ARR,17930,679346.9010443958,3242846.1696544853
EDDF,2020-02-01T00:00:00Z,DEP,17927,999554.451992144,4901252.398878686
EDDF,2020-03-01T00:00:00Z,ARR,11443,354547.1279557665,2080814.8003997216
EDDF,2020-03-01T00:00:00Z,DEP,11396,314886.5032150835,3040008.8905069083
EDDF,2020-04-01T00:00:00Z,ARR,3244,166031.0942760465,732459.1861148686
EDDF,2020-04-01T00:00:00Z,DEP,3260,73070.59112288135,1173613.564121239
EDDF,2020-05-01T00:00:00Z,ARR,3885,106172.7112644078,780924.8183270294
EDDF,2020-05-01T00:00:00Z,DEP,3871,87525.57855475634,1287946.9123592428
EDDF,2020-06-01T00:00:00Z,ARR,4662,93823.82459746148,764296.1669208031
EDDF,2020-06-01T00:00:00Z,DEP,4665,52919.29941247512,1256254.084909064
EDDF,2020-07-01T00:00:00Z,ARR,7667,169417.51910088764,1100287.4869752042
EDDF,2020-07-01T00:00:00Z,DEP,7697,128139.80768944554,1770446.334666253
EDDF,2020-08-01T00:00:00Z,ARR,8844,258755.20187836597,1372402.992470377
EDDF,2020-08-01T00:00:00Z,DEP,8842,237264.8968848211,2106294.5371571747
EDDF,2020-09-01T00:00:00Z,ARR,8458,225879.11973086305,1275869.2494365023
EDDF,2020-09-01T00:00:00Z,DEP,8465,198159.8140813324,1997308.912092919
EDDF,2020-10-01T00:00:00Z,ARR,8544,250510.56906362143,1327761.8977740668
EDDF,2020-10-01T00:00:00Z,DEP,8551,204959.41048725435,2094293.6656731665
EDDF,2020-11-01T00:00:00Z,ARR,6397,245232.59931054545,1222146.4473831742
EDDF,2020-11-01T00:00:00Z,DEP,6405,146458.13768614753,1845417.874282056
EDDF,2020-12-01T00:00:00Z,ARR,6832,282450.088280449,1297821.4057697146
EDDF,2020-12-01T00:00:00Z,DEP,6795,146245.4820813063,1976295.630142729
EDDF,2021-01-01T00:00:00Z,ARR,6579,237018.88556556363,1206234.963240869
EDDF,2021-01-01T00:00:00Z,DEP,6618,334005.6131396295,2096254.664954601
EDDF,2021-02-01T00:00:00Z,ARR,5559,205281.86972774664,1081886.1015547002
EDDF,2021-02-01T00:00:00Z,DEP,5556,200364.5844736518,1810968.5347064468
EDDF,2021-03-01T00:00:00Z,ARR,6834,233822.67393973868,1250389.041965595
EDDF,2021-03-01T00:00:00Z,DEP,6834,85010.65751643565,1936388.8652723683
EDDF,2021-04-01T00:00:00Z,ARR,7739,230225.96051223812,1320530.755846535
EDDF,2021-04-01T00:00:00Z,DEP,7737,95628.21833366198,2049732.5866960173
EDDF,2021-05-01T00:00:00Z,ARR,8496,285321.63094582356,1420600.217409128
EDDF,2021-05-01T00:00:00Z,DEP,8473,111409.32110989348,2224072.2312011216
EDDF,2021-06-01T00:00:00Z,ARR,9995,295732.88528370694,1605450.9598858648
EDDF,2021-06-01T00:00:00Z,DEP,10007,122836.90437984093,2442662.5528421807
EDDF,2021-07-01T00:00:00Z,ARR,13791,390576.471444029,2096606.736819946
EDDF,2021-07-01T00:00:00Z,DEP,13788,181437.11627662665,3152541.1336432467
EDDF,2021-08-01T00:00:00Z,ARR,14449,476314.4647344595,2281902.603219711
EDDF,2021-08-01T00:00:00Z,DEP,14440,276226.5877335753,3374563.5271161157
EDDF,2021-09-01T00:00:00Z,ARR,14060,443309.47419989336,2297778.6663786215
EDDF,2021-09-01T00:00:00Z,DEP,14063,348710.1468804264,3514573.868757735
EDDF,2021-10-01T00:00:00Z,ARR,14992,576034.8871854283,2542410.3952236343
EDDF,2021-10-01T00:00:00Z,DEP,15000,338886.82579399523,3624961.2190378527
EDDF,2021-11-01T00:00:00Z,ARR,14440,601802.3025178482,2531869.539980033
EDDF,2021-11-01T00:00:00Z,DEP,14438,375148.7192815472,3535673.643232739
EDDF,2021-12-01T00:00:00Z,ARR,13991,586144.2578737501,2486869.3665871383
EDDF,2021-12-01T00:00:00Z,DEP,13960,433686.5437410356,3607724.046865564
EDDM,2019-01-01T00:00:00Z,ARR,15605,364080.486931748,1335061.5410445791
EDDM,2019-01-01T00:00:00Z,DEP,15680,1836471.661961632,3913167.456010374
EDDM,2019-02-01T00:00:00Z,ARR,14940,337288.44382135384,1242884.6747973105
EDDM,2019-02-01T00:00:00Z,DEP,14932,1026194.763835094,2987927.146342571
EDDM,2019-03-01T00:00:00Z,ARR,17116,313985.40548831807,1368108.574375564
EDDM,2019-03-01T00:00:00Z,DEP,17114,722414.5768842152,2971956.574099452
EDDM,2019-04-01T00:00:00Z,ARR,17059,315454.3433875682,1366166.1274967885
EDDM,2019-04-01T00:00:00Z,DEP,17026,581609.3387360761,2985606.7228355845
EDDM,2019-05-01T00:00:00Z,ARR,18726,395514.4650752923,1548091.3958296287
EDDM,2019-05-01T00:00:00Z,DEP,18739,720792.8570035605,3231208.7326934515
EDDM,2019-06-01T00:00:00Z,ARR,18177,422819.87165788666,1562865.508271344
EDDM,2019-06-01T00:00:00Z,DEP,18191,750435.3056766777,3276825.701880711
EDDM,2019-07-01T00:00:00Z,ARR,18807,410119.6830206884,1598728.3531475551
EDDM,2019-07-01T00:00:00Z,DEP,18810,780353.4767649969,3317208.610187279
EDDM,2019-08-01T00:00:00Z,ARR,18042,426368.5769060352,1579395.645072316
EDDM,2019-08-01T00:00:00Z,DEP,18040,726252.8126576903,3219315.635520719
EDDM,2019-09-01T00:00:00Z,ARR,18928,356034.4665487524,1536240.136822284
EDDM,2019-09-01T00:00:00Z,DEP,18929,758935.5867020508,3307286.730425053
EDDM,2019-10-01T00:00:00Z,ARR,18659,356091.2109250268,1523582.633782137
EDDM,2019-10-01T00:00:00Z,DEP,18642,789670.4754652703,3324567.07686034
EDDM,2019-11-01T00:00:00Z,ARR,15755,297157.989920412,1276580.659018865
EDDM,2019-11-01T00:00:00Z,DEP,15761,684194.523605738,2828173.3575106747
EDDM,2019-12-01T00:00:00Z,ARR,15263,310936.0180927766,1272259.4554807798
EDDM,2019-12-01T00:00:00Z,DEP,15199,897606.0990566065,2988507.8335711733
EDDM,2020-01-01T00:00:00Z,ARR,15291,284130.52523695637,1247784.168005085
EDDM,2020-01-01T00:00:00Z,DEP,15368,969497.9976771754,3038973.988582774
EDDM,2020-02-01T00:00:00Z,ARR,14694,260347.26662240695,1175930.5689386337
EDDM,2020-02-01T00:00:00Z,DEP,14678,706271.0275948849,2628751.001659468
EDDM,2020-03-01T00:00:00Z,ARR,8674,135808.3670250786,667359.6265363105
EDDM,2020-03-01T00:00:00Z,DEP,8632,246556.2906029696,1378984.7211455302
EDDM,2020-04-01T00:00:00Z,ARR,889,9072.488961228688,63424.38547265046
EDDM,2020-04-01T00:00:00Z,DEP,900,10756.15293478692,121915.5239958012
EDDM,2020-05-01T00:00:00Z,ARR,1028,21311.80180482048,110628.11780482042
EDDM,2020-05-01T00:00:00Z,DEP,1035,18295.552428939412,169305.47742383028
EDDM,2020-06-01T00:00:00Z,ARR,2269,34045.092982392925,159233.8853721562
EDDM,2020-06-01T00:00:00Z,DEP,2289,26388.153414903343,276604.6585323984
EDDM,2020-07-01T00:00:00Z,ARR,4973,64902.198164632275,324038.85586366616
EDDM,2020-07-01T00:00:00Z,DEP,4961,43797.66707338892,548535.734339299
EDDM,2020-08-01T00:00:00Z,ARR,6131,67879.00922509455,372039.2359742691
EDDM,2020-08-01T00:00:00Z,DEP,6125,40946.62425655745,670508.9980030911
EDDM,2020-09-01T00:00:00Z,ARR,6347,72284.0148744518,372804.6555745796
EDDM,2020-09-01T00:00:00Z,DEP,6357,43513.71185388165,666666.3332123929
EDDM,2020-10-01T00:00:00Z,ARR,5668,58053.07411685312,335664.86996001564
EDDM,2020-10-01T00:00:00Z,DEP,5670,44123.94281662969,587461.1875852065
EDDM,2020-11-01T00:00:00Z,ARR,3247,39983.65516765669,197932.87345126155
EDDM,2020-11-01T00:00:00Z,DEP,3260,58581.76652240898,388042.253101775
EDDM,2020-12-01T00:00:00Z,ARR,2846,48194.90041957029,189175.029582124
EDDM,2020-12-01T00:00:00Z,DEP,2844,120585.22933076456,418205.81395296456
EDDM,2021-01-01T00:00:00Z,ARR,2448,54735.2251938433,189440.4406648662
EDDM,2021-01-01T00:00:00Z,DEP,2457,202648.8604122383,479577.2679727905
EDDM,2021-02-01T00:00:00Z,ARR,1707,30181.323746482456,123908.73416201926
EDDM,2021-02-01T00:00:00Z,DEP,1700,69050.12434427883,276238.8938063673
EDDM,2021-03-01T00:00:00Z,ARR,2546,38528.58962041277,179540.18305256637
EDDM,2021-03-01T00:00:00Z,DEP,2548,86333.72611240212,363059.5404693041
EDDM,2021-04-01T00:00:00Z,ARR,3268,44238.96230024869,203230.36799902772
EDDM,2021-04-01T00:00:00Z,DEP,3261,63789.96036576665,404777.643175211
EDDM,2021-05-01T00:00:00Z,ARR,4097,65975.01035671771,263187.04502173397
EDDM,2021-05-01T00:00:00Z,DEP,4099,67244.69228794446,517575.1725910493
EDDM,2021-06-01T00:00:00Z,ARR,5528,98832.40011206368,376232.2252627388
EDDM,2021-06-01T00:00:00Z,DEP,5537,127990.70899600202,719947.2732936484
EDDM,2021-07-01T00:00:00Z,ARR,7919,117380.8764974633,556575.759120081
EDDM,2021-07-01T00:00:00Z,DEP,7942,293726.1100658047,1222046.8718022394
EDDM,2021-08-01T00:00:00Z,ARR,8770,128400.39336598822,642270.8453463992
EDDM,2021-08-01T00:00:00Z,DEP,8769,380649.34103986825,1385011.4614346318
EDDM,2021-09-01T00:00:00Z,ARR,9427,131447.18556599776,656645.3919339455
EDDM,2021-09-01T00:00:00Z,DEP,9426,362896.14347248897,1465796.668910559
EDDM,2021-10-01T00:00:00Z,ARR,10353,158772.34314098168,706284.4440367492
EDDM,2021-10-01T00:00:00Z,DEP,10356,237532.12518052472,1406048.8948900169
EDDM,2021-11-01T00:00:00Z,ARR,9613,146500.5228430708,669837.7321119308
EDDM,2021-11-01T00:00:00Z,DEP,9598,394416.963460195,1515857.2344245724
EDDM,2021-12-01T00:00:00Z,ARR,9478,161028.6957384932,702518.4617909883
EDDM,2021-12-01T00:00:00Z,DEP,9475,479947.5281723623,1657955.200375552
EDDM,NA,ARR,91,1439.8869850601686,6347.446880108551
EDDM,NA,DEP,3,8.778000995936157,67.0004901309715
EGKK,2019-01-01T00:00:00Z,ARR,9879,250044.47486187005,1198598.1613323097
EGKK,2019-01-01T00:00:00Z,DEP,9892,416963.34874995274,2424831.934610794
EGKK,2019-02-01T00:00:00Z,ARR,9959,263935.72808407835,1172243.939239386
EGKK,2019-02-01T00:00:00Z,DEP,9963,753182.8307003072,2758531.477586637
EGKK,2019-03-01T00:00:00Z,ARR,11328,290097.47484867513,1374318.5893817758
EGKK,2019-03-01T00:00:00Z,DEP,11342,992403.3497015736,3207384.2178932754
EGKK,2019-04-01T00:00:00Z,ARR,12003,242676.88111786227,1118033.9094359584
EGKK,2019-04-01T00:00:00Z,DEP,11998,817686.7237916369,3388797.5539391264
EGKK,2019-05-01T00:00:00Z,ARR,13037,285363.7673892064,1412787.5037686098
EGKK,2019-05-01T00:00:00Z,DEP,13044,1179354.5413333403,3779633.077611161
EGKK,2019-06-01T00:00:00Z,ARR,13275,352988.4259684681,1506873.2298221309
EGKK,2019-06-01T00:00:00Z,DEP,13291,1460123.0339947315,4160631.4618832334
EGKK,2019-07-01T00:00:00Z,ARR,13789,482017.5623665549,1745907.5019704036
EGKK,2019-07-01T00:00:00Z,DEP,13777,1609418.3070561094,4403126.829898137
EGKK,2019-08-01T00:00:00Z,ARR,14058,431150.61909800366,1760441.0324086936
EGKK,2019-08-01T00:00:00Z,DEP,14087,1627917.9612200053,4438896.773500572
EGKK,2019-09-01T00:00:00Z,ARR,13080,403245.7129356965,1589657.652442037
EGKK,2019-09-01T00:00:00Z,DEP,13053,1446613.701312938,4042054.958161469
EGKK,2019-10-01T00:00:00Z,ARR,12207,284368.2870472907,1363101.938248881
EGKK,2019-10-01T00:00:00Z,DEP,12223,1078859.3313784918,3517819.809406237
EGKK,2019-11-01T00:00:00Z,ARR,9233,224591.5400001,1018278.2040415304
EGKK,2019-11-01T00:00:00Z,DEP,9223,339638.23167076596,2304742.348811889
EGKK,2019-12-01T00:00:00Z,ARR,10522,320420.5649640092,1362848.2110980286
EGKK,2019-12-01T00:00:00Z,DEP,10529,736416.5345341507,2812443.2176262424
EGKK,2020-01-01T00:00:00Z,ARR,9330,238729.45796556128,1180624.8865557427
EGKK,2020-01-01T00:00:00Z,DEP,9336,381876.5714639395,2229578.7213020194
EGKK,2020-02-01T00:00:00Z,ARR,9449,239382.504082896,1203991.9597609795
EGKK,2020-02-01T00:00:00Z,DEP,9452,717842.7395560503,2538751.3469411205
EGKK,2020-03-01T00:00:00Z,ARR,6912,177768.1516442206,860144.217880851
EGKK,2020-03-01T00:00:00Z,DEP,6892,356462.76975198486,1773958.4327858596
EGKK,2020-04-01T00:00:00Z,ARR,155,2959.063264995326,14000.035284636915
EGKK,2020-04-01T00:00:00Z,DEP,155,-2107.1695206580735,23918.406151430452
EGKK,2020-05-01T00:00:00Z,ARR,124,2318.0005979879256,11019.863999999996
EGKK,2020-05-01T00:00:00Z,DEP,121,4113.474411556535,16528.661079999998
EGKK,2020-06-01T00:00:00Z,ARR,287,5278.7363769835365,26310.57711234646
EGKK,2020-06-01T00:00:00Z,DEP,284,-9247.420005741871,36908.60430320643
EGKK,2020-07-01T00:00:00Z,ARR,1562,13752.428663301604,143157.32234693805
EGKK,2020-07-01T00:00:00Z,DEP,1567,-51744.55369325382,197931.6462400007
EGKK,2020-08-01T00:00:00Z,ARR,4069,49940.306462525565,368398.31146302173
EGKK,2020-08-01T00:00:00Z,DEP,4067,-129961.4228472019,582606.4127813914
EGKK,2020-09-01T00:00:00Z,ARR,3737,35975.13727507857,337825.98515933595
EGKK,2020-09-01T00:00:00Z,DEP,3742,-130637.86635129648,513076.069252807
EGKK,2020-10-01T00:00:00Z,ARR,2288,23465.359472732205,240321.03942749512
EGKK,2020-10-01T00:00:00Z,DEP,2287,-79801.29999370096,352917.2187609467
EGKK,2020-11-01T00:00:00Z,ARR,762,11701.240279711104,80600.20290593333
EGKK,2020-11-01T00:00:00Z,DEP,749,-19798.31032390995,118965.54463000016
EGKK,2020-12-01T00:00:00Z,ARR,1440,21594.68653711695,160092.29329865135
EGKK,2020-12-01T00:00:00Z,DEP,1459,-41836.5524073907,244871.93606977488
EGKK,2021-01-01T00:00:00Z,ARR,864,12522.832401948035,94525.06603952328
EGKK,2021-01-01T00:00:00Z,DEP,854,-20673.50020675436,156399.67259077853
EGKK,2021-02-01T00:00:00Z,ARR,370,5254.583069013705,43719.3086300674
EGKK,2021-02-01T00:00:00Z,DEP,364,-11440.55169558096,78365.78168622887
EGKK,2021-03-01T00:00:00Z,ARR,455,4252.535843806286,52373.67916903849
EGKK,2021-03-01T00:00:00Z,DEP,435,-18698.492679408864,84709.12816536264
EGKK,2021-04-01T00:00:00Z,ARR,518,7062.1434817269665,50020.28301148449
EGKK,2021-04-01T00:00:00Z,DEP,512,-10393.607563691934,95026.93546087
EGKK,2021-05-01T00:00:00Z,ARR,943,10680.906432902224,92957.51807142852
EGKK,2021-05-01T00:00:00Z,DEP,949,-20876.96899827032,162724.66325175547
EGKK,2021-06-01T00:00:00Z,ARR,1330,13054.28638175526,121935.90626197233
EGKK,2021-06-01T00:00:00Z,DEP,1324,-30954.10555884064,212440.5342702174
EGKK,2021-07-01T00:00:00Z,ARR,2472,31615.828488292045,230471.146092041
EGKK,2021-07-01T00:00:00Z,DEP,2488,-23375.376908961425,421960.84329702274
EGKK,2021-08-01T00:00:00Z,ARR,4099,50515.34789615281,363155.9878141777
EGKK,2021-08-01T00:00:00Z,DEP,4109,8063.407271003573,728101.9904350721
EGKK,2021-09-01T00:00:00Z,ARR,4085,49813.00903721438,355631.2304604622
EGKK,2021-09-01T00:00:00Z,DEP,4087,-43542.48929631244,664299.2927263781
EGKK,2021-10-01T00:00:00Z,ARR,4070,60373.00019898088,413530.27911234426
EGKK,2021-10-01T00:00:00Z,DEP,4094,-66540.91953260884,657201.586897069
EGKK,2021-11-01T00:00:00Z,ARR,3620,53093.2841527602,381255.2482246915
EGKK,2021-11-01T00:00:00Z,DEP,3613,-85077.81078351653,572183.2339695103
EGKK,2021-12-01T00:00:00Z,ARR,5068,75590.31871384189,517901.7974172799
EGKK,2021-12-01T00:00:00Z,DEP,5067,-42086.25206420729,921106.364387432
EGLL,2019-01-01T00:00:00Z,ARR,18920,1246470.6533692875,3733761.176847411
EGLL,2019-01-01T00:00:00Z,DEP,18914,1438845.7916737923,8947506.593784459
EGLL,2019-02-01T00:00:00Z,ARR,17625,1200947.3581517893,3479859.283390294
EGLL,2019-02-01T00:00:00Z,DEP,17631,1645523.7438930126,8498873.630517652
EGLL,2019-03-01T00:00:00Z,ARR,19946,1290574.2512706693,3807341.4224829976
EGLL,2019-03-01T00:00:00Z,DEP,19974,2360863.1245349157,10082649.605581356
EGLL,2019-04-01T00:00:00Z,ARR,20172,1207761.0931065972,3973879.950282007
EGLL,2019-04-01T00:00:00Z,DEP,20165,2121368.776369832,9849201.362786263
EGLL,2019-05-01T00:00:00Z,ARR,20840,1136617.8853898123,3773762.427657709
EGLL,2019-05-01T00:00:00Z,DEP,20846,2276850.188285476,10210442.396625483
EGLL,2019-06-01T00:00:00Z,ARR,20453,1283817.9268150523,3958723.752961981
EGLL,2019-06-01T00:00:00Z,DEP,20458,2603795.4140812666,10458100.95582074
EGLL,2019-07-01T00:00:00Z,ARR,21059,1602009.4438989053,4344069.432301676
EGLL,2019-07-01T00:00:00Z,DEP,21049,2765358.4097923087,10908653.853688912
EGLL,2019-08-01T00:00:00Z,ARR,21021,1457339.7272450873,4126475.249835204
EGLL,2019-08-01T00:00:00Z,DEP,21020,2666972.3338488145,10779808.69262276
EGLL,2019-09-01T00:00:00Z,ARR,19528,1138412.1142674729,3667591.2239704872
EGLL,2019-09-01T00:00:00Z,DEP,19518,2133834.5335569326,9663778.988609502
EGLL,2019-10-01T00:00:00Z,ARR,20681,1247774.952677633,3923384.1447810256
