ICAO,MOF,PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
SBSP,2019-01-01T00:00:00Z,ARR,7739,213749.77800000034,478486.97039999755
SBSP,2019-01-01T00:00:00Z,DEP,7666,377245.59840000165,1293425.9052800022
SBSP,2019-02-01T00:00:00Z,ARR,6918,222960.2519999991,459031.9799999994
SBSP,2019-02-01T00:00:00Z,DEP,6803,495352.8599999997,1305352.1310000012
SBSP,2019-03-01T00:00:00Z,ARR,7302,198329.86799999911,447557.2679999999
SBSP,2019-03-01T00:00:00Z,DEP,7238,355321.2119999989,1200459.1037999955
SBSP,2019-04-01T00:00:00Z,ARR,7151,163159.49999999968,406241.73599999986
SBSP,2019-04-01T00:00:00Z,DEP,7059,425119.8240000011,1240690.5381999959
SBSP,2019-05-01T00:00:00Z,ARR,7181,132717.8640000003,377400.55199999927
SBSP,2019-05-01T00:00:00Z,DEP,7117,394255.10399999935,1240484.5325999956
SBSP,2019-06-01T00:00:00Z,ARR,6552,102205.76317273822,327127.27458754316
SBSP,2019-06-01T00:00:00Z,DEP,6492,303499.2719999999,1088167.5385999985
SBSP,2019-07-01T00:00:00Z,ARR,3686,50126.460000000196,176734.26000000036
SBSP,2019-07-01T00:00:00Z,DEP,7102,298624.7461563012,1141367.8833290492
SBSP,2019-08-01T00:00:00Z,ARR,7091,254060.07600000026,499078.9200000005
SBSP,2019-08-01T00:00:00Z,DEP,7027,419530.4279999989,1241365.8769999968
SBSP,2019-09-01T00:00:00Z,ARR,7326,104374.32000000044,356335.0319999993
SBSP,2019-09-01T00:00:00Z,DEP,7235,378534.5760000004,1221437.3483999984
SBSP,2019-10-01T00:00:00Z,ARR,7565,300579.0376415998,559815.6868608
SBSP,2019-10-01T00:00:00Z,DEP,7491,453319.35418560036,1302331.6545435174
SBSP,2019-11-01T00:00:00Z,ARR,7440,126088.58016000086,374953.3019999993
SBSP,2019-11-01T00:00:00Z,DEP,7332,433190.74985279946,1233547.675428796
SBSP,2019-12-01T00:00:00Z,ARR,7658,248970.3542685712,503536.64820396906
SBSP,2019-12-01T00:00:00Z,DEP,7581,440644.74519285234,1282689.7327751317
SBSP,2020-01-01T00:00:00Z,ARR,7819,429893.3165856011,686165.1355968005
SBSP,2020-01-01T00:00:00Z,DEP,7750,445389.3589824017,1312858.5711284783
SBSP,2020-02-01T00:00:00Z,ARR,7045,109513.00882559981,342108.1987488005
SBSP,2020-02-01T00:00:00Z,DEP,6923,404979.9835679998,1169211.4638939218
SBSP,2020-03-01T00:00:00Z,ARR,5029,67553.27685119984,236097.77481600072
SBSP,2020-03-01T00:00:00Z,DEP,4970,222872.56768743822,761617.9109242772
SBSP,2020-04-01T00:00:00Z,ARR,112,-34.84800000000008,3651.8400000000006
SBSP,2020-04-01T00:00:00Z,DEP,44,-130.55999999999986,4570.2672
SBSP,2020-05-01T00:00:00Z,ARR,31,126.34799999999994,1057.26
SBSP,2020-05-01T00:00:00Z,DEP,25,16.392000000000046,2832.5865999999996
SBSP,2020-06-01T00:00:00Z,ARR,344,1642.8720000000005,12317.819999999985
SBSP,2020-06-01T00:00:00Z,DEP,346,3803.4840000000036,42608.279799999975
SBSP,2020-07-01T00:00:00Z,ARR,619,2264.9640000000018,21330.564
SBSP,2020-07-01T00:00:00Z,DEP,618,3393.912,70976.3772
SBSP,2020-08-01T00:00:00Z,ARR,514,12540.527999999991,16357.810800000003
SBSP,2020-08-01T00:00:00Z,DEP,522,31419.11759999999,41737.60161999998
SBSP,2020-09-01T00:00:00Z,ARR,886,4287.725131844342,30153.558519387523
SBSP,2020-09-01T00:00:00Z,DEP,887,14012.825999999974,95905.69183999984
SBSP,2020-10-01T00:00:00Z,ARR,1924,14637.383297766506,79219.87798542505
SBSP,2020-10-01T00:00:00Z,DEP,1898,34136.391340549766,238062.51606344365
SBSP,2020-11-01T00:00:00Z,ARR,2449,21853.333697766535,105685.34348765833
SBSP,2020-11-01T00:00:00Z,DEP,2446,45226.11878241965,304705.25193711685
SBSP,2020-12-01T00:00:00Z,ARR,2989,35022.389711771204,130891.53793067175
SBSP,2020-12-01T00:00:00Z,DEP,2957,76520.46843370252,406026.270470482
SBSP,2021-01-01T00:00:00Z,ARR,3442,35076.936466099556,144515.4262342462
SBSP,2021-01-01T00:00:00Z,DEP,3424,77021.74774753209,456217.2819859198
SBSP,2021-02-01T00:00:00Z,ARR,2607,19669.468373974258,106140.7126568544
SBSP,2021-02-01T00:00:00Z,DEP,2550,39892.005920041454,322765.4925556382
SBSP,2021-03-01T00:00:00Z,ARR,2124,12073.620848883253,81759.91444559049
SBSP,2021-03-01T00:00:00Z,DEP,2077,32330.016569309057,260857.25323786886
SBSP,2021-04-01T00:00:00Z,ARR,1157,4430.8655999999955,44275.12440000001
SBSP,2021-04-01T00:00:00Z,DEP,1159,11032.075200000014,127918.13504000005
SBSP,2021-05-01T00:00:00Z,ARR,1728,6640.890206815564,61397.3573240848
SBSP,2021-05-01T00:00:00Z,DEP,1735,23868.059877236035,215365.42171362604
SBSP,2021-06-01T00:00:00Z,ARR,2136,13393.741159106608,83940.31986368871
SBSP,2021-06-01T00:00:00Z,DEP,2119,36986.41098983816,264588.8889222264
SBSP,2021-07-01T00:00:00Z,ARR,3361,28024.68660352286,138146.92859834232
SBSP,2021-07-01T00:00:00Z,DEP,3332,78138.5389425842,453831.2177953953
SBSP,2021-08-01T00:00:00Z,ARR,3221,24419.143909279264,131102.75262136772
SBSP,2021-08-01T00:00:00Z,DEP,3236,74191.46414278971,430216.33841929823
SBSP,2021-09-01T00:00:00Z,ARR,3747,34361.06216028086,161301.2050218515
SBSP,2021-09-01T00:00:00Z,DEP,3757,109490.77712124321,524646.5866133417
SBSP,2021-10-01T00:00:00Z,ARR,4068,44165.984308335304,183157.31580773732
SBSP,2021-10-01T00:00:00Z,DEP,4055,124949.52936860026,572771.5825199754
SBSP,2021-11-01T00:00:00Z,ARR,4411,41064.2139360578,191198.67350736837
SBSP,2021-11-01T00:00:00Z,DEP,4398,160498.4865831393,645068.0026268981
SBSP,2021-12-01T00:00:00Z,ARR,5225,58584.44642113729,235285.52808878667
SBSP,2021-12-01T00:00:00Z,DEP,5222,192522.93418446512,769955.7636056867
SBSP,2022-01-01T00:00:00Z,ARR,5264,85042.53992431509,261416.4051261806
SBSP,2022-01-01T00:00:00Z,DEP,5293,188514.09929370647,804163.5380029982
SBSP,2022-02-01T00:00:00Z,ARR,4108,45030.6416892932,183720.01969631622
SBSP,2022-02-01T00:00:00Z,DEP,4084,136206.678050614,592272.8621823189
SBSP,2022-03-01T00:00:00Z,ARR,4581,57079.56225286645,207623.492636864
SBSP,2022-03-01T00:00:00Z,DEP,4606,200570.08986230657,735463.3216185801
SBSP,2022-04-01T00:00:00Z,ARR,5608,65699.70899834194,255691.43311581906
SBSP,2022-04-01T00:00:00Z,DEP,5553,276047.35337817593,906085.3555951293
SBSP,2022-05-01T00:00:00Z,ARR,6412,76189.30039997664,289547.5102603277
SBSP,2022-05-01T00:00:00Z,DEP,6390,345844.24258459796,1098172.6603903698
SBSP,2022-06-01T00:00:00Z,ARR,5995,77399.65698705944,278035.86195998255
SBSP,2022-06-01T00:00:00Z,DEP,5934,246251.93177879296,930538.4338931763
SBSP,2022-07-01T00:00:00Z,ARR,2,43.17599999999999,100.836
